abnormal,(adj.8),不正常的
aboriginal,(adj.10),土著的;土著居民的
absentminded,(adj.12),心不在焉的;健忘的
accessible,(adj.10),可(或易)接近的;可(或易)得到的
accessory,(adj.9),附加的;附屬的
accountable,(adj.11),應負責任的;可說明的
acute,(adj.5),尖銳的;敏銳的;劇烈的
administrative,(adj.14),管理的;行政的
affectionate,(adj.12),充滿深情的;溫柔親切的
alcoholic,(adj.9),含酒精的;酗酒的
alternative,(adj.11),兩者(或若干)中擇一的
ambiguous,(adj.9),含糊不清的
amiable,(adj.7),和藹可親的
analytical,(adj.10),分析的
animate,(adj.7),有生命的;活潑的;有活力的
anonymous,(adj.9),匿名的
antarctic,(adj.9),南極的;南極區的
antibiotic,(adj.10),抗生的;抗菌的
applicable,(adj.10),合用的;可實施的
approximate,(adj.11),近似的;大概的
arctic,(adj.6),北極的;北極區的
arrogant,(adj.8),傲慢的;自大的
articulate,(adj.10),發音清晰的;口才好的
attendant,(adj.9),出席的;伴隨的;侍候的
authentic,(adj.9),可信的;真實的
awesome,(adj.7),令人敬畏的;非凡的
biological,(adj.10),生物的;生物學的
bizarre,(adj.7),奇異的;異乎尋常的
bleak,(adj.5),荒涼的;陰冷的;無希望的
blunt,(adj.5),鈍的;遲鈍的;直率的
brisk,(adj.5),輕快的;興旺的;寒冷而清新的
brute,(adj.5),畜生的;畜生般的;殘忍的
bulky,(adj.5),體積大的;笨重的
captive,(adj.7),被俘的;被迷住的
charitable,(adj.10),慈善的;寬容的
chronic,(adj.7),(病)慢性的;(人)久病的;長期的
clinical,(adj.8),臨床的;診所的
coherent,(adj.8),一致的;條理清楚的;連貫的
collective,(adj.10),集體的;共同的
colloquial,(adj.10),口語的;會話的
communicative,(adj.13),愛說話的;交際的
comparable,(adj.10),可比較的;比得上的
comparative,(adj.11),比較的;相對的
compatible,(adj.10),能共處的;可並立的;相容的
competent,(adj.9),有能力的;能幹的;能勝任的
component,(adj.9),組成的;構成的
comprehensive,(adj.13),廣泛的;綜合的
concise,(adj.7),簡明的
confidential,(adj.12),祕密的;機密的
conscientious,(adj.13),憑良心的;誠實的;認真的
constituent,(adj.11),構成(全體)的;組成的;選舉的
controversial,(adj.13),有爭議的;好議論的
coordinate,(adj.10),同等重要的;座標的;對等的
cordial,(adj.7),熱忱的;衷心的
corporate,(adj.9),法人(組織)的;團體的;共同的
cosmetic,(adj.8),化妝用的;裝飾性的;表面的
cosmopolitan,(adj.12),世界性的;國際性的
credible,(adj.8),可信的;可靠的
crooked,(adj.7),彎曲的;欺詐的;不正派的
crucial,(adj.7),決定性的;重要的
crude,(adj.5),未經加工的;粗野的;粗糙的
cumulative,(adj.10),漸增的;蓄積的;累計的
customary,(adj.9),習慣上的;按慣例的
deadly,(adj.6),"致命的,致死的;非常的,極度的"
decent,(adj.6),正派的;體面的
decisive,(adj.8),決定性的;確定的;果斷的
deliberate,(adj.10),深思熟慮的;蓄意的
delinquent,(adj.10),怠忽職守的;拖欠的;犯法的
dental,(adj.6),牙齒的;牙科的
designate,(adj.9),指定的
destined,(adj.8),命中注定的;(場所)預定的
diplomatic,(adj.10),外交的;有外交手腕的
disastrous,(adj.10),災害的;悲慘的
disciplinary,(adj.12),訓練的;紀律的;懲戒的
discreet,(adj.8),謹慎的;謙虛的;不引人注意的
disgraceful,(adj.11),不名譽的;可恥的
dispensable,(adj.11),非必要的;可分配的
disposable,(adj.10),可任意處理的;用完即丟棄的
dissident,(adj.9),意見不同的
